employee_id,name,department,project_id,date,task_category,hours_worked,remarks
EMP001,John Doe,Devops,PROJ1001,2025-05-01,Bug Fixing,4.80,Updated documentation
EMP001,John Doe,Devops,PROJ1003,2025-05-02,Development,5.50,Worked on feature enhancement
EMP001,John Doe,Devops,PROJ1002,2025-05-05,Development,5.50,Resolved critical bugs
EMP001,John Doe,Devops,PROJ1004,2025-05-06,Development,1.70,Attended sprint planning
EMP001,John Doe,Devops,PROJ1002,2025-05-07,Documentation,7.80,Worked on feature enhancement
EMP001,John Doe,Devops,PROJ1004,2025-05-08,Bug Fixing,5.60,Refactored module code
EMP001,John Doe,Devops,PROJ1004,2025-05-09,Development,4.10,Resolved critical bugs
EMP001,John Doe,Devops,PROJ1004,2025-05-12,Bug Fixing,4.70,Updated documentation
EMP001,John Doe,Devops,PROJ1003,2025-05-13,Bug Fixing,6.70,Attended sprint planning
EMP001,John Doe,Devops,PROJ1002,2025-05-14,Bug Fixing,5.20,Refactored module code
EMP001,John Doe,Devops,PROJ1002,2025-05-15,Documentation,5.00,Worked on feature enhancement
EMP001,John Doe,Devops,PROJ1003,2025-05-16,Bug Fixing,7.70,Resolved critical bugs
EMP001,John Doe,Devops,PROJ1002,2025-05-19,Bug Fixing,3.50,Refactored module code
EMP001,John Doe,Devops,PROJ1004,2025-05-20,Development,3.90,Refactored module code
EMP001,John Doe,Devops,PROJ1004,2025-05-21,Bug Fixing,5.70,Worked on feature enhancement
EMP001,John Doe,Devops,PROJ1003,2025-05-22,Development,7.70,Worked on feature enhancement
EMP001,John Doe,Devops,PROJ1003,2025-05-23,Documentation,5.80,Updated documentation
EMP001,John Doe,Devops,PROJ1003,2025-05-26,Bug Fixing,3.70,Resolved critical bugs
EMP001,John Doe,Devops,PROJ1001,2025-05-27,Documentation,4.10,Worked on feature enhancement
EMP001,John Doe,Devops,PROJ1002,2025-05-28,Development,7.80,Updated documentation
EMP001,John Doe,Devops,PROJ1004,2025-05-29,Documentation,3.20,Refactored module code
EMP001,John Doe,Devops,PROJ1004,2025-05-30,Documentation,5.90,Worked on feature enhancement
EMP001,John Doe,Devops,PROJ1001,2025-06-02,Bug Fixing,5.30,Worked on feature enhancement
EMP001,John Doe,Devops,PROJ1002,2025-06-03,Development,6.70,Resolved critical bugs
EMP001,John Doe,Devops,PROJ1001,2025-06-04,Bug Fixing,3.10,Worked on feature enhancement
EMP001,John Doe,Devops,PROJ1004,2025-06-05,Documentation,4.50,Attended sprint planning
EMP001,John Doe,Devops,PROJ1003,2025-06-06,Bug Fixing,4.80,Updated documentation
EMP001,John Doe,Devops,PROJ1004,2025-06-09,Bug Fixing,4.40,Attended sprint planning
EMP001,John Doe,Devops,PROJ1003,2025-06-10,Development,6.70,Updated documentation
