EmployeeId,Name,Department,ProjectId,Date,TaskCategory,HoursWorked,Remarks
E2025001,Suresh Patel,Finance,P104,2025-05-19T10:40,Documentation,198.60,Completed
E2025007,Ravi Sharma,Marketing,P101,2025-04-23T11:24,Testing,162.40,Delayed
E2025009,Rajesh Kumar,HR,P102,2025-04-18T16:14,Development,112.97,On Hold
E2025019,Dasu Kumar,Marketing,P104,2025-03-10T16:17,Testing,166.31,On Hold
E2025025,Vardhan Patel,Finance,P102,2025-05-27T12:37,Development,114.15,Completed
E2025028,Suresh Kumar,IT,P104,2025-03-08T09:19,Testing,119.79,On Hold
E2025029,Ravi Sharma,Marketing,P101,2025-03-10T11:14,Bug Fix,107.51,Completed
E2025041,Dasu Patel,Finance,P102,2025-03-18T07:59,Testing,157.68,Delayed
E2025049,Suresh Sharma,Marketing,P104,2025-03-07T06:47,Bug Fix,189.74,Delayed
E2025054,Dasu Sharma,Marketing,P102,2025-03-21T15:13,Documentation,165.17,On Hold
E2025060,Tulasidhar Reddy,Marketing,P102,2025-03-16T17:17,Development,158.70,Completed
E2025061,Anil Sharma,Finance,P101,2025-03-27T18:19,Bug Fix,140.33,Completed
E2025063,Rajesh Sharma,IT,P102,2025-04-21T06:50,Testing,135.94,On Hold
E2025066,Kaushik Kumar,Finance,P103,2025-04-24T20:39,Bug Fix,148.55,On Hold
E2025083,Dasu Kumar,IT,P104,2025-03-23T17:59,Development,136.74,Delayed
E2025099,Vardhan Kumar,Marketing,P102,2025-04-17T06:22,Documentation,142.86,Delayed
