?Employee ID,Name,Department,Project ID,Date,Task Category,Hours Worked,Remarks
EMP0009,Manoj,IT,PRJ189,2025-03-20,Testing,1.89,blocked
EMP0009,Manoj,Product Management,PRJ129,2025-05-17,Training,3.85,delayed
EMP0009,Manoj,Product Management,PRJ117,2025-04-02,Monitoring,8.53,critical
EMP0009,Manoj,HR,PRJ102,2025-06-06,Monitoring,3.34,urgent
EMP0019,Saketh,Support,PRJ124,2025-03-19,Training,9.71,completed
EMP0019,Saketh,Engineering,PRJ113,2025-04-27,Documentation,2.48,blocked
EMP0019,Saketh,Product Management,PRJ179,2025-05-20,Development,4.38,in progress
EMP0008,Maneesh,Design,PRJ193,2025-05-02,Client Meeting,1.56,in progress
EMP0008,Maneesh,Data Science,PRJ130,2025-03-08,Training,8.49,completed
EMP0008,Maneesh,Product Management,PRJ147,2025-04-02,Development,5.09,follow up
EMP0021,Sri sai,QA,PRJ151,2025-04-20,Code Review,8.37,delayed
EMP0021,Sri sai,Product Management,PRJ180,2025-05-11,Development,2.52,in progress
EMP0021,Sri sai,Design,PRJ123,2025-03-17,Monitoring,3.47,urgent
EMP0010,Mourya,QA,PRJ160,2025-04-04,Code Review,5.12,needs review
EMP0010,Mourya,DevOps,PRJ144,2025-03-21,Documentation,3.43,follow up
EMP0010,Mourya,Support,PRJ183,2025-05-04,Development,5.84,follow up
EMP0020,Sameer,Engineering,PRJ198,2025-04-09,Code Review,4.6,in progress
EMP0020,Sameer,DevOps,PRJ108,2025-06-04,Code Review,8.96,critical
EMP0020,Sameer,Data Science,PRJ124,2025-05-10,Deployment,1.63,completed
EMP0020,Sameer,Product Management,PRJ165,2025-03-15,Monitoring,4.87,completed
EMP0012,Niranjan,Data Science,PRJ177,2025-03-29,Monitoring,3.74,follow up
EMP0012,Niranjan,QA,PRJ190,2025-05-11,Training,4.62,in progress
EMP0012,Niranjan,Support,PRJ121,2025-04-04,Bug Fix,6.15,delayed
EMP0001,Abhinav,Support,PRJ168,2025-03-24,Monitoring,1.07,in progress
EMP0001,Abhinav,DevOps,PRJ122,2025-05-05,Client Meeting,3.29,escalated
EMP0023,Uday,Data Science,PRJ167,2025-04-02,Client Meeting,1.55,delayed
EMP0023,Uday,Support,PRJ100,2025-05-14,Client Meeting,3.08,urgent
EMP0023,Uday,Product Management,PRJ146,2025-03-25,Training,4.31,critical
EMP0011,Naga bhushan,Support,PRJ195,2025-03-23,Training,3.42,delayed
EMP0011,Naga bhushan,Finance,PRJ143,2025-04-07,Development,7.11,critical
EMP0011,Naga bhushan,Finance,PRJ155,2025-05-05,Client Meeting,8.71,blocked
EMP0022,Surya,Support,PRJ119,2025-04-07,Documentation,7.71,follow up
EMP0022,Surya,Product Management,PRJ143,2025-03-19,Training,6.74,blocked
EMP0022,Surya,Data Science,PRJ174,2025-05-12,Testing,2.28,needs review
EMP0003,Bala sathvik,Data Science,PRJ197,2025-04-18,Deployment,7.72,approved
EMP0003,Bala sathvik,Finance,PRJ163,2025-05-05,Client Meeting,8.85,delayed
EMP0003,Bala sathvik,Engineering,PRJ188,2025-03-22,Client Meeting,8.65,escalated
