Employee ID,Name,Department,Project ID,Date,Task Category,Hours Worked,Remarks
E3320,Tamara,Devops,P202,18-06-2025,Testing,6.9,normal task
E3527,Andrew,Research & Development,P206,09-05-2025,Documentation,6.3,urgent
E2852,Gina,Research & Development,P204,13-05-2025,Bug Fixing,4.4,normal task
E6073,Michaela,Research & Development,P202,20-04-2025,Development,1.9,urgent
E6990,Laura,Devops,P202,13-07-2025,Bug Fixing,2.8,normal task
E3024,Michael,Devops,P204,23-06-2025,Documentation,2.9,urgent
E1774,Ryan,Research & Development,P204,22-04-2025,Testing,4.4,meeting
E3733,Natalie,Devops,P207,07-05-2025,Bug Fixing,2.4,meeting
E9789,Colleen,QA,P209,18-04-2025,Development,0,critical
E1689,Linda,Research & Development,P200,04-06-2025,Development,5.2,critical
E9165,Joshua,QA,P207,08-05-2025,Bug Fixing,1.3,normal task
E4994,Matthew,Research & Development,P205,27-04-2025,Development,5.4,normal task
E7324,Jason,Devops,P209,12-05-2025,Documentation,3.8,meeting
E1773,Kyle,QA,P201,18-06-2025,Testing,5.5,normal task
E6985,Marcus,Devops,P209,14-07-2025,Testing,0.5,normal task
E8210,Daniel,QA,P201,07-07-2025,Development,5.8,meeting
E9789,Colleen,QA,P209,18-04-2025,Development,0,critical
E6413,Sheri,UI/UX,P209,12-05-2025,Bug Fixing,5.9,urgent
E3781,John,Devops,P201,15-05-2025,Testing,4.7,meeting
E6255,Diane,Devops,P200,13-07-2025,Documentation,7.2,meeting
E6442,Raymond,Devops,P209,23-06-2025,Documentation,0,meeting
E7972,Jonathan,QA,P209,13-07-2025,Documentation,1.1,normal task
E8902,Alyssa,Research & Development,P202,04-06-2025,Documentation,0.5,critical
E9632,Timothy,UI/UX,P209,16-05-2025,Development,2.6,normal task
E6789,Tiffany,QA,P201,02-05-2025,Bug Fixing,2.2,urgent
E5602,Elizabeth,QA,P201,05-07-2025,Bug Fixing,0,normal task
E9771,Mark,Research & Development,P209,11-07-2025,Documentation,1.9,urgent
E8899,Maria,UI/UX,P200,10-06-2025,Bug Fixing,7.7,critical
E6219,Eugene,UI/UX,P207,04-06-2025,Documentation,5.8,normal task
E3546,Melissa,QA,P200,27-05-2025,Development,5.6,normal task
E7042,Tammy,Devops,P205,31-05-2025,Development,7.7,critical
E8275,Kathy,Devops,P207,14-07-2025,Development,6.1,urgent
E8418,Vanessa,UI/UX,P202,18-06-2025,Documentation,3.6,critical
E4718,Steven,UI/UX,P207,27-05-2025,Testing,5.6,urgent
