Employee ID,Name,Department,Project ID,Date,Task Category,Hours Worked,Remarks
E9740,Jerome,UI/UX,P201,2025-06-26,Development,1.5,normal task
E6073,Michaela,Research & Development,P202,2025-04-20,Development,1.9,urgent
E8902,Alyssa,Research & Development,P202,2025-06-04,Documentation,0.5,critical
E3320,Tamara,Devops,P200,2025-06-18,Testing,0.0,normal task
E3320,Tamara,Devops,P200,2025-06-18,Documentation,0.0,normal task
E3320,Tamara,Devops,P201,2025-06-18,Documentation,0.0,normal task
E9835,Karina,Devops,P208,2025-05-08,Development,0.0,critical
E2952,Janet,Devops,P200,2025-07-10,Documentation,0.0,meeting
E9165,Joshua,QA,P207,2025-05-08,Bug Fixing,1.3,normal task
E3447,Leah,UI/UX,P209,2025-07-06,Documentation,1.0,critical
E2519,Kimberly,Devops,P200,2025-05-02,Testing,1.4,urgent
E8183,Nathaniel,Devops,P204,2025-04-16,Development,1.9,normal task
E7972,Jonathan,QA,P209,2025-07-13,Documentation,1.1,normal task
E9601,Jessica,UI/UX,P205,2025-06-18,Bug Fixing,0.3,critical
E9771,Mark,Research & Development,P209,2025-07-11,Documentation,1.9,urgent
E6442,Raymond,Devops,P209,2025-06-23,Documentation,0.0,meeting
E4747,Danny,QA,P203,2025-05-28,Development,1.3,urgent
E5270,Lisa,Devops,P204,2025-06-07,Development,0.6,critical
E7743,Sheena,UI/UX,P201,2025-07-05,Testing,1.2,meeting
E8167,Benjamin,UI/UX,P201,2025-05-26,Documentation,1.0,urgent
E6213,Tyler,Devops,P201,2025-06-10,Documentation,1.0,meeting
E4818,Anthony,Devops,P209,2025-06-30,Development,1.7,urgent
E9789,Colleen,QA,P209,2025-04-18,Development,0.0,critical
E9789,Colleen,QA,P209,2025-04-18,Development,0.0,critical
E4039,Caitlin,Devops,P208,2025-06-17,Testing,0.2,meeting
E6985,Marcus,Devops,P209,2025-07-14,Testing,0.5,normal task
E5602,Elizabeth,QA,P201,2025-07-05,Bug Fixing,0.0,normal task
E2155,David,QA,P206,2025-04-17,Documentation,0.3,meeting
