Employee ID,Name,Department,Project ID,Date,Task Category,Hours Worked,Remarks
E1010,Suman,UI/UX,P206,2025-01-02,Development,6.8,critical
E1006,Neha,Research & Development,P200,2025-04-02,Documentation,0.0,meeting
E1018,Anil,QA,P202,2025-05-21,Development,6.2,normal task
E1020,Sunita,UI/UX,P208,2025-02-21,Testing,5.3,urgent
E1007,Kiran,QA,P204,2025-01-09,Development,0.0,meeting
E1002,Amit,Devops,P207,2024-12-08,Testing,9.4,normal task
E1020,Deepak,QA,P205,2024-12-27,Bug Fixing,2.2,critical
E1022,Deepak,QA,P209,2025-04-04,Development,0.0,critical
E1017,Neha,UI/UX,P203,2024-12-11,Development,3.2,meeting
E1008,Kiran,Devops,P208,2025-04-15,Documentation,3.2,critical
E1010,Kiran,QA,P206,2024-12-09,Documentation,2.9,meeting
E1005,Priya,Research & Development,P201,2025-01-11,Testing,5.5,critical
E1009,Suman,QA,P205,2025-04-10,Bug Fixing,5.3,normal task
E1020,Kiran,UI/UX,P207,2025-02-28,Testing,4.0,urgent
E1019,Kiran,Devops,P206,2025-02-28,Development,7.2,urgent
E1021,Raj,Devops,P208,2025-02-23,Documentation,1.0,normal task
E1016,Suman,QA,P208,2025-03-11,Testing,0.0,meeting
E1006,Suman,Research & Development,P206,2025-03-06,Documentation,4.9,critical
E1025,Neha,QA,P203,2025-04-02,Bug Fixing,0.0,urgent
E1016,Neha,Devops,P209,2025-01-14,Testing,0.0,urgent
E1024,Sunita,Research & Development,P203,2025-05-01,Documentation,1.3,meeting
E1019,Sunita,Devops,P203,2024-12-04,Bug Fixing,7.3,normal task
E1024,Neha,UI/UX,P206,2024-12-02,Development,0.0,meeting
E1029,Deepak,UI/UX,P203,2025-05-03,Development,0.0,urgent
E1021,Kiran,Devops,P206,2025-05-12,Bug Fixing,0.0,urgent
E1003,Suman,UI/UX,P208,2025-04-16,Bug Fixing,9.6,meeting
E1017,Anil,Research & Development,P208,2025-05-15,Development,0.0,meeting
E1026,Deepak,Devops,P208,2025-03-11,Development,8.4,meeting
E1007,Anil,Devops,P206,2025-01-19,Bug Fixing,2.6,urgent
E1001,Suman,UI/UX,P206,2025-01-06,Testing,6.7,normal task
E1013,Vikas,Research & Development,P205,2025-03-25,Bug Fixing,6.0,critical
E1023,Anil,UI/UX,P201,2025-05-07,Bug Fixing,7.3,urgent
E1018,Suman,Research & Development,P209,2025-04-17,Development,7.0,meeting
E1001,Priya,QA,P203,2025-01-28,Documentation,9.5,critical
E1009,Kiran,Devops,P205,2025-04-06,Bug Fixing,0.0,urgent
E1024,Suman,Research & Development,P200,2025-05-12,Development,3.9,urgent
E1000,Sunita,QA,P207,2025-05-02,Bug Fixing,6.0,meeting
E1017,Amit,UI/UX,P208,2024-12-01,Development,9.8,urgent
E1015,Suman,Devops,P206,2025-05-12,Development,0.0,normal task
E1003,Suman,QA,P200,2025-02-27,Development,0.0,critical
E1023,Raj,Devops,P200,2024-12-27,Development,0.0,critical
E1002,Priya,Devops,P202,2025-01-21,Testing,0.0,meeting
E1026,Vikas,QA,P205,2025-02-26,Testing,8.6,normal task
E1018,Neha,UI/UX,P201,2024-12-17,Documentation,2.0,urgent
E1011,Raj,Research & Development,P203,2025-04-02,Development,9.7,critical
E1008,Priya,QA,P207,2025-05-03,Development,0.0,urgent
E1022,Vikas,UI/UX,P203,2025-05-01,Development,1.2,urgent
E1017,Anil,Devops,P201,2025-02-15,Documentation,0.0,urgent
E1010,Neha,UI/UX,P207,2025-03-15,Testing,0.0,urgent
E1005,Kiran,Devops,P204,2025-05-27,Testing,5.0,critical
E1022,Deepak,QA,P207,2024-12-07,Testing,0.0,meeting
E1017,Sunita,UI/UX,P202,2025-05-17,Development,0.0,urgent
E1009,Raj,QA,P201,2025-01-13,Bug Fixing,4.0,urgent
E1017,Neha,Devops,P201,2025-03-26,Development,0.0,normal task
E1015,Deepak,UI/UX,P204,2025-03-13,Testing,0.0,urgent
E1017,Suman,Devops,P203,2025-02-28,Documentation,5.5,urgent
E1023,Vikas,QA,P206,2025-04-26,Documentation,5.6,critical
E1003,Amit,Research & Development,P206,2025-01-17,Bug Fixing,0.0,normal task
E1009,Priya,QA,P201,2024-12-18,Bug Fixing,5.6,meeting
E1017,Suman,UI/UX,P205,2025-03-19,Testing,0.0,critical
E1015,Priya,Research & Development,P203,2025-01-05,Documentation,4.0,critical
E1015,Deepak,UI/UX,P203,2025-04-22,Bug Fixing,2.5,urgent
E1012,Sunita,Devops,P201,2025-04-08,Testing,0.0,urgent
E1022,Amit,UI/UX,P209,2025-02-28,Development,0.0,normal task
E1019,Priya,Devops,P201,2025-05-26,Development,2.8,normal task
E1011,Sunita,QA,P205,2025-01-03,Documentation,0.0,meeting
E1007,Sunita,Devops,P203,2025-04-07,Bug Fixing,0.0,urgent
E1015,Kiran,QA,P207,2025-05-23,Documentation,5.2,critical
E1013,Anil,Devops,P202,2025-01-16,Bug Fixing,0.0,critical
E1016,Kiran,Research & Development,P203,2025-04-02,Testing,8.9,meeting
E1010,Vikas,QA,P200,2025-05-19,Bug Fixing,8.8,critical
E1008,Amit,QA,P202,2024-12-24,Bug Fixing,9.2,meeting
E1018,Neha,Devops,P201,2025-03-27,Development,0.0,normal task
E1025,Priya,Devops,P200,2025-03-25,Bug Fixing,0.0,meeting
E1014,Neha,Research & Development,P206,2025-03-13,Testing,0.0,critical
E1027,Vikas,UI/UX,P200,2024-12-16,Documentation,0.0,urgent
E1006,Deepak,Devops,P208,2025-01-13,Bug Fixing,0.0,urgent
E1013,Neha,UI/UX,P205,2025-03-26,Documentation,4.2,normal task
E1027,Raj,UI/UX,P201,2025-03-26,Development,0.0,normal task
E1021,Priya,Research & Development,P206,2025-05-26,Bug Fixing,9.8,normal task
E1005,Sunita,Devops,P205,2025-02-20,Testing,0.0,meeting
E1025,Sunita,UI/UX,P208,2025-02-10,Development,0.0,urgent
E1004,Raj,QA,P209,2025-01-30,Development,5.3,meeting
E1010,Vikas,Devops,P209,2025-02-23,Documentation,0.0,critical
E1001,Vikas,Devops,P206,2025-04-01,Bug Fixing,8.5,meeting
E1000,Kiran,Devops,P208,2025-04-04,Documentation,5.0,urgent
E1023,Priya,Research & Development,P203,2024-12-08,Documentation,0.0,meeting
E1008,Vikas,Devops,P201,2025-05-09,Testing,6.6,meeting
E1020,Suman,Research & Development,P208,2025-04-18,Development,0.0,normal task
E1025,Neha,Devops,P203,2025-01-30,Documentation,6.1,critical
E1004,Kiran,Research & Development,P204,2025-01-27,Documentation,0.0,urgent
E1012,Anil,QA,P203,2025-01-14,Development,8.0,normal task
E1003,Deepak,Research & Development,P207,2025-05-10,Bug Fixing,3.3,normal task
E1006,Amit,Research & Development,P204,2025-05-22,Development,0.0,normal task
E1002,Priya,Devops,P202,2025-01-31,Testing,1.9,urgent
E1013,Suman,UI/UX,P200,2025-03-07,Development,0.0,urgent
E1005,Deepak,UI/UX,P205,2025-04-27,Development,0.0,critical
E1025,Deepak,Research & Development,P209,2025-02-04,Development,8.9,meeting
E1021,Priya,QA,P204,2025-01-25,Bug Fixing,2.2,normal task
E1007,Anil,Devops,P205,2025-02-07,Testing,7.4,urgent
E1017,Deepak,Devops,P201,2025-05-01,Development,2.7,critical
E1004,Sunita,Research & Development,P209,2025-05-28,Development,3.9,normal task
E1005,Priya,QA,P208,2025-01-25,Bug Fixing,0.0,critical
E1027,Anil,Devops,P208,2025-05-17,Bug Fixing,0.0,critical
E1027,Suman,QA,P204,2025-05-18,Testing,0.0,meeting
E1022,Kiran,Research & Development,P202,2024-12-09,Documentation,7.6,normal task
E1002,Deepak,Research & Development,P205,2025-01-11,Testing,0.0,normal task
E1013,Amit,Research & Development,P203,2025-01-30,Testing,0.0,normal task
E1013,Raj,Devops,P205,2025-05-04,Testing,0.0,urgent
E1011,Vikas,UI/UX,P207,2025-04-07,Bug Fixing,9.7,meeting
E1013,Anil,UI/UX,P205,2025-04-07,Testing,0.0,critical
E1020,Vikas,Research & Development,P202,2024-12-05,Development,0.0,urgent
E1027,Anil,UI/UX,P202,2025-02-08,Documentation,5.0,normal task
E1021,Deepak,UI/UX,P200,2025-03-03,Bug Fixing,4.3,meeting
E1022,Anil,UI/UX,P205,2025-04-29,Bug Fixing,0.0,meeting
E1013,Kiran,Research & Development,P201,2024-12-31,Documentation,0.0,urgent
E1023,Suman,Research & Development,P208,2025-01-15,Bug Fixing,0.0,normal task
E1016,Raj,QA,P200,2025-04-20,Documentation,0.0,normal task
E1008,Deepak,Devops,P205,2024-12-04,Bug Fixing,0.0,urgent
E1017,Priya,Research & Development,P206,2025-04-23,Development,6.6,critical
E1024,Anil,UI/UX,P206,2024-12-05,Testing,9.9,normal task
E1017,Neha,Devops,P207,2025-03-11,Testing,0.0,meeting
E1018,Deepak,QA,P205,2025-01-03,Testing,2.8,urgent
E1022,Anil,UI/UX,P205,2024-12-28,Bug Fixing,0.0,normal task
E1028,Sunita,Research & Development,P205,2025-05-14,Development,3.9,urgent
E1010,Sunita,Research & Development,P205,2025-03-12,Testing,3.0,normal task
E1018,Anil,UI/UX,P201,2025-02-12,Bug Fixing,0.0,meeting
E1009,Anil,Research & Development,P208,2025-01-03,Documentation,2.3,meeting
E1003,Priya,UI/UX,P206,2025-04-20,Documentation,1.3,normal task
E1000,Priya,UI/UX,P201,2024-12-12,Documentation,2.9,urgent
E1006,Amit,Devops,P202,2025-03-05,Testing,7.2,normal task
E1007,Raj,QA,P206,2024-12-21,Development,1.2,meeting
E1017,Kiran,Research & Development,P202,2025-02-13,Testing,8.8,urgent
E1009,Priya,QA,P200,2025-04-18,Bug Fixing,0.0,meeting
E1014,Amit,QA,P207,2025-03-20,Testing,2.3,normal task
E1009,Amit,Devops,P205,2025-05-18,Testing,0.0,normal task
E1003,Kiran,Devops,P204,2025-01-24,Bug Fixing,9.3,meeting
E1005,Neha,QA,P204,2025-04-14,Testing,8.5,normal task
E1010,Raj,Research & Development,P209,2025-04-18,Bug Fixing,5.5,normal task
E1026,Raj,Research & Development,P204,2024-12-28,Development,4.1,critical
E1006,Priya,Research & Development,P203,2024-12-04,Testing,5.4,normal task
E1024,Priya,QA,P206,2025-04-14,Bug Fixing,9.8,urgent
E1008,Deepak,Devops,P209,2025-05-05,Bug Fixing,0.0,urgent
E1027,Vikas,QA,P200,2025-02-08,Testing,2.8,urgent
E1016,Deepak,QA,P205,2025-03-12,Development,0.0,urgent
E1025,Anil,Devops,P203,2025-05-05,Documentation,0.0,meeting
E1020,Raj,QA,P204,2025-04-04,Testing,5.8,critical
E1007,Vikas,Devops,P208,2025-05-01,Development,0.0,critical
E1001,Raj,Research & Development,P204,2024-12-22,Documentation,9.3,urgent
E1025,Amit,QA,P207,2025-05-05,Documentation,0.0,meeting
E1028,Sunita,Research & Development,P200,2025-05-23,Testing,1.8,urgent
